"filename", "language", "PHP", "JavaScript", "SQL", "XML", "Markdown", "JSON", "CSS", "HTML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\nameRecord.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 53
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\os2.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 47
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\post.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 0, 62, 19, 143
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\TrueType\Collection.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 0, 0, 22, 22, 101
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\TrueType\File.php", "PHP", 318, 0, 0, 0, 0, 0, 0, 0, 0, 71, 83, 472
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\TrueType\Header.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 31
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\TrueType\TableDirectoryEntry.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 34
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\WOFF\File.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 19, 17, 82
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\WOFF\Header.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 32
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\WOFF\TableDirectoryEntry.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 35
"c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\README.md", "Markdown", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 14
"c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\SECURITY.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\composer.json", "JSON", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\CssLength.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 0, 48, 15, 135
"c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\DefaultStyle.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 30
"c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Document.php", "PHP", 302, 0, 0, 0, 0, 0, 0, 0, 0, 25, 82, 409
"c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Gradient\Stop.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 17
